what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1440505449164
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1440505449164
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1440505449164
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1440505449165
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1440505449166
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1440505449167
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1440505449168
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1440505449169
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1440505449169
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1440505449170
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1440505449170
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1440505449171
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1440505449171
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1440505449172
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1440505449172
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1440505449173
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1440505449173
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1440505449174
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1440505449174
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1440505449175
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1440505449175
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1440505449176
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1440505449176
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1440505449177
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1440505449177
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1440505449179
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1440505449180
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1440505449185
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1440505449186
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1440505449187
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1440505449188
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1440505449189
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1440505449189
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1440505449190
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1440505449192
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1440505449193
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1440505449195
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1440505449196
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1440505449197
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1440505449198
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1440505449199
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1440505449201
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1440505449202
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1440505449202
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1440505449203
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1440505449204
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1440505449205
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1440505449205
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1440505449206
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1440505449207
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1440505449208
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1440505449208
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1440505449209
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1440505449211
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1440505449212
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1440505449213
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1440505449214
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1440505449215
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1440505449216
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1440505449218
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1440505449219
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1440505449219
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1440505449219
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1440505449220
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1440505449221
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1440505449221
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1440505449222
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1440505449223
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1440505449223
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1440505449224
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1440505449225
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1440505449225
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1440505449226
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1440505449227
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1440505449227
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1440505449228
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1440505449229
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1440505449229
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1440505449230
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1440505449230
started,bundle,org.eclipse.wst.wsdl,1.2.202.v201108230355,"org.eclipse.wst.wsdl",1440505449231
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1440505449232
started,bundle,com.ibm.ast.ws.jaxws.emitter,1.0.302.v20121205_2240,"com.ibm.ast.ws.jaxws.emitter",1440505449233
started,bundle,com.ibm.ccl.help.preferenceharvester,2.1.6.v20121101_1538,"com.ibm.ccl.help.preferenceharvester",1440505449233
started,bundle,com.ibm.ccl.ws.finder.core,1.0.200.v20121205_2240,"com.ibm.ccl.ws.finder.core",1440505449233
started,bundle,com.ibm.ccl.ws.finder.ui,1.0.200.v20121205_2240,"com.ibm.ccl.ws.finder.ui",1440505449234
started,bundle,com.ibm.etools.annotations.core,1.0.209.v20121012_2025,"com.ibm.etools.annotations.core",1440505449235
started,bundle,com.ibm.etools.common.migration,1.0.300.v20121016_1236,"com.ibm.etools.common.migration",1440505449235
started,bundle,com.ibm.etools.common.migration.ui,1.0.201.v20120918_0238,"com.ibm.etools.common.migration.ui",1440505449236
started,bundle,com.ibm.etools.emf.workbench.ui,5.1.201.v20120918_0208,"com.ibm.etools.emf.workbench.ui",1440505449236
started,bundle,com.ibm.etools.j2ee.ui,6.0.303.v20121009_0112,"com.ibm.etools.j2ee.ui",1440505449236
started,bundle,com.ibm.etools.project.explorer,7.5.101.v20120918_0238,"com.ibm.etools.project.explorer",1440505449237
started,bundle,com.ibm.jee.was.descriptors,1.2.201.v20121205_2240,"com.ibm.jee.was.descriptors",1440505449237
started,bundle,com.ibm.ut.help.common,2.8.0.v20121101_1538,"com.ibm.ut.help.common",1440505449238
started,bundle,com.ibm.ut.help.parser,2.4.1.v20121024_1330,"com.ibm.ut.help.parser",1440505449238
started,bundle,com.ibm.ut.ic.server,1.1.6.v20121101_1538,"com.ibm.ut.ic.server",1440505449239
started,bundle,com.ibm.ws.jaxrs.core,1.0.0.v20121205_2240,"com.ibm.ws.jaxrs.core",1440505449239
os,sysinfo,,,"linux",1440505449243
arch,sysinfo,,,"x86_64",1440505449243
ws,sysinfo,,,"gtk",1440505449243
locale,sysinfo,,,"en_US",1440505449243
processors,sysinfo,,,"4",1440505449244
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1440505449244
java.runtime.version,sysinfo,,,"1.7.0_79-b14",1440505449244
java.specification.name,sysinfo,,,"Java Platform API Specification",1440505449244
java.specification.vendor,sysinfo,,,"Oracle Corporation",1440505449244
java.specification.version,sysinfo,,,"1.7",1440505449244
java.vendor,sysinfo,,,"Oracle Corporation",1440505449244
java.version,sysinfo,,,"1.7.0_79",1440505449244
java.vm.info,sysinfo,,,"mixed mode",1440505449244
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1440505449244
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1440505449244
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1440505449244
java.vm.specification.version,sysinfo,,,"1.7",1440505449244
java.vm.vendor,sysinfo,,,"Oracle Corporation",1440505449244
java.vm.version,sysinfo,,,"24.79-b02",1440505449244
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1440505449333
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1440505450306
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1440505450332
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1440505451054
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1440505451087
started,bundle,com.ibm.ws.ast.verify.ui,1.0.201.v20121205_2240,"com.ibm.ws.ast.verify.ui",1440505451132
started,bundle,com.ibm.ws.ast.verify.core,1.1.103.v20121205_2240,"com.ibm.ws.ast.verify.core",1440505451134
started,bundle,com.ibm.ws.ast.st.common.core,6.2.101.v20121205_2240,"com.ibm.ws.ast.st.common.core",1440505451135
started,bundle,com.ibm.ws.ast.st.core,6.5.1.v20121205_2240,"com.ibm.ws.ast.st.core",1440505451154
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1440505451169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440505458079
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440505461646
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1440505462090
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1440505462099
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1440505462345
stopped,bundle,com.ibm.etools.webservice.discovery.core,7.0.300.v20121205_2240,"com.ibm.etools.webservice.discovery.core",1440505462346
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1440505462348
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1440505462349
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1440505462351
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1440505462353
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1440505462356
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1440505462358
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1440505462359
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1440505462362
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1440505462364
stopped,bundle,com.ibm.ast.ws.jaxws.creation.ejb.ui,1.0.200.v20121205_2240,"com.ibm.ast.ws.jaxws.creation.ejb.ui",1440505462366
stopped,bundle,com.ibm.ast.ws.jaxws.handlers.ui,1.0.200.v20121205_2240,"com.ibm.ast.ws.jaxws.handlers.ui",1440505462371
stopped,bundle,com.ibm.ast.ws.jaxws.creation.ui,1.0.301.v20121205_2240,"com.ibm.ast.ws.jaxws.creation.ui",1440505462373
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1440505462375
